question_id,question_text,expected_category,golden_answer,model_answer,,,,,,,,,,,,,,,,pass_fail
1,"I was scammed by a fake job offer in Kochi, what should I do?",cyber_fraud,"File a complaint at Kerala Cyber Cell or cybercrime.gov.in. Save chat, emails, and payment proofs.","DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
2,What is the punishment for online identity theft?,identity_theft,Section 66C IT Act: 3 years imprisonment + â‚¹1 lakh fine.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
3,"Someone hacked my Instagram account, what can I do?",account_hacking,"Report to Instagram, change passwords, enable 2FA, file complaint under Sec 43 & 66 IT Act.","DISCLAIMER:  I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
4,How can I report cybercrime in Kerala?,reporting,"Use cybercrime.gov.in, visit nearest Cyber Cell, or dial 1930 for financial fraud."," **District:** Thrissur Rural - **City:** Thrissur Rural - **Station:** Cyber Cell, Thrissur Rural - **Phone:** 0480-2820023, 9497987140 - **Address:** District Police Office, Irinjalakuda, Thrissur - 680121 - **Website:** https://keralapolice.gov.in/page/cyber-cell DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
5,What is Section 67 of IT Act 2000?,obscenity,Punishment for obscene content online: 3 years jail + â‚¹5 lakh fine.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
6,What is the Kozhikode Cyber Cell contact number?,hyperlocal,Kozhikode Cyber Cell: +91-495-2723500,"**District:** Kozhikode City - **City:** Kozhikode - **Station:** Kozhikode City Cyber Police Station - **Phone:** 0495-2970400, 9497923416 - **Address:** Second Floor, City Police Office Building, Pavamani Road, Kozhikode - 673001 - **Website:** https://keralapolice.gov.in/page/cyber-cell DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
7,Someone is blackmailing me using private photos. What should I do?,cyber_harassment,Report immediately under Sections 66E & 67A. Do NOT negotiate.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
8,Can I file a cyber complaint without visiting police station?,reporting,Yes. Use the online portal cybercrime.gov.in and submit evidence.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
9,What are the common cybercrimes?,awareness,"Phishing, hacking, identity theft, fraud, cyberbullying, data breach."," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
10,What is the punishment for sending obscene messages online?,obscenity,Sec 67 IT Act: 3 years imprisonment + â‚¹5 lakh fine.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
11,I received a phishing email pretending to be a bank. What should I do?,phishing,Do not click any link. Report to cybercrime.gov.in and the bank.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
12,What is cyberstalking?,harassment,Online monitoring/harassment; punishable under Sec 354D IPC & Sec 66A IT Act.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
13,What is the helpline number for financial fraud?,helpline,Dial 1930.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
14,How do I protect my social media accounts?,awareness,"Enable 2FA, use strong passwords, avoid OTP sharing."," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
15,Can minors be punished under cyber laws?,juvenile,Yes but under Juvenile Justice Act if under 18.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
16,What is Section 66D of IT Act?,fraud,Cheating by impersonation using digital means: 3 years jail + fine.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
17,Is publishing fake news online a cybercrime?,misinformation,Yes if harmful; punishable under IPC & IT Act.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
18,I lost money in an online trading scam. What should I do?,cyber_fraud,Immediately call 1930 and report to cybercrime.gov.in.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
19,How can I verify if a website is genuine?,awareness,"Check HTTPS, domain name, official links, avoid suspicious pages.","DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
20,What is the punishment for tampering with computer data?,data_tampering,Sec 65 IT Act: 3 years jail or â‚¹2 lakh fine.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
21,Which law protects digital personal data in India?,data_protection,Digital Personal Data Protection Act 2023.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
22,How do I report harassment by online loan apps?,cyber_harassment,File at cybercrime.gov.in; Sections 66E & 72 apply.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
23,What is doxxing?,privacy,Sharing private data without consent; violates Sec 66E.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
24,Can I file a cyber complaint anonymously?,procedure,Yes. Use 'Report Anonymous' option at cybercrime.gov.in.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,pass
25,What is ransomware?,cyber_attack,Malware that locks files and demands ransom. Report immediately.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
26,Who regulates cyber laws in India?,governance,Ministry of Electronics and IT (MeitY).,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
27,What is Section 43 of IT Act?,unauthorized_access,Penalizes unauthorized access; fine up to â‚¹1 crore.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
28,How to contact the Ernakulam Cyber Cell?,hyperlocal,Ernakulam Cyber Cell: +91-484-2359200," **District:** Thiruvananthapuram City - **City:** Thiruvananthapuram - **Station:** Cyber Cell, Thiruvananthapuram City - **Phone:** 0471-2329107, 9497975998 - **Address:** Police Headquarters, Vellayambalam, Thiruvananthapuram - 695010 - **Website:** https://keralapolice.gov.in/page/cyber-cell DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
29,Can I withdraw a cyber complaint?,procedure,Yes before FIR is filed.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
30,What is the penalty for data theft by employees?,data_theft,Sec 72 IT Act: 2 years jail + â‚¹1 lakh fine.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
31,What is OTP fraud?,phishing,Scam to steal OTPs; never share.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
32,What law covers cyberbullying of students?,cyber_bullying,IPC 509 + Sec 66E & 67 IT Act.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
33,My Facebook page was hacked and used for scams. What should I do?,account_hacking,Recover account + file cyber cell complaint under Sec 66.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
34,What is digital signature fraud?,e_signature,Sec 73 IT Act: up to 2 years jail + fine.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
35,I got a sextortion threat. What should I do?,cyber_extortion,Do NOT pay. Report under Sec 67A & IPC 384.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
36,Difference between phishing and vishing?,awareness,Phishing = online; Vishing = phone scams.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
37,How long does a cyber investigation take?,procedure,Varies from days to months depending on case.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
38,What is CERT-In?,national_agency,Indian cybersecurity incident response agency.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
39,Can sharing memes be a cyber offense?,defamation,Yes if obscene/defamatory (Sec 67 + IPC 499).,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
40,How do I report a fake Instagram profile?,identity_fraud,Report profile + file cyber complaint under Sec 66C.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
41,What is Section 69 of IT Act?,surveillance,Government power to intercept for security.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
42,Can cybercrimes be reported after months?,procedure,Yes if evidence is preserved.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
43,What is punishment for cyber terrorism?,cyber_terrorism,Sec 66F IT Act: Life imprisonment.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
44,What is data retention rule under DPDP Act?,data_protection,Data must be deleted once purpose is fulfilled.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
45,Is cyber defamation a crime?,defamation,Yes. IPC 499 + IT Act.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
46,Can companies be punished for data breach?,corporate_liability,Yes under DPDP Act + Sec 43A.," DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
47,How to confirm if a loan app is fake?,awareness,Check RBI website; avoid apps with excessive permissions.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
48,What is Section 66B of IT Act?,stolen_device,Receiving stolen digital property; 3 years jail.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
49,How to complain offline in Kerala?,reporting,Visit nearest Cyber Cell with ID & evidence.,"**District:** Thrissur Rural - **City:** Thrissur Rural - **Station:** Cyber Cell, Thrissur Rural - **Phone:** 0480-2820023, 9497987140 - **Address:** District Police Office, Irinjalakuda, Thrissur - 680121 - **Website:** https://keralapolice.gov.in/page/cyber-cell DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
50,What is jurisdiction of cyber offenses?,jurisdiction,Sec 75 IT Act: offense can be tried where impact is felt.,"DISCLAIMER: I am not a lawyer. This is not legal advice. For urgent help, call 1930 or visit cybercrime.gov.in.",,,,,,,,,,,,,,,,fail
